source_symbol,sec_type_used,conid,symbol,sec_type,exchange,description,company_name,sections_json
UGE,OPT,42808815,UGE,,,ARCA,PROSHARES ULTRA CONSUMER STA,"[{""secType"": ""STK""}, {""secType"": ""OPT"", ""months"": ""MAY26;JUN26;AUG26;NOV26"", ""exchange"": ""SMART;AMEX;BATS;BOX;CBOE;CBOE2;EDGX;GEMINI;IBUSOPT;NASDAQBX;NASDAQOM;PHLX;PSE""}, {""secType"": ""BAG""}]"
UGE,OPT,396329067,UGE,,,VALUE,UGE INTERNATIONAL LTD,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
UNE,FOP,832145907,UNE,,,FWB2,FIRST US BANCSHARES INC,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
UNE,FOP,2147483647,,,,,,"[{""secType"": ""BOND""}]"
UNE,FUT,832145907,UNE,,,FWB2,FIRST US BANCSHARES INC,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
UNE,FUT,2147483647,,,,,,"[{""secType"": ""BOND""}]"
UNE,IND,832145907,UNE,,,FWB2,FIRST US BANCSHARES INC,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
UNE,IND,2147483647,,,,,,"[{""secType"": ""BOND""}]"
UNE,OPT,832145907,UNE,,,FWB2,FIRST US BANCSHARES INC,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
UNE,OPT,2147483647,,,,,,"[{""secType"": ""BOND""}]"
URE,FOP,74262459,URE,,,ARCA,PROSHARES ULTRA REAL ESTATE,"[{""secType"": ""STK""}, {""secType"": ""OPT"", ""months"": ""MAY26;JUN26;SEP26;DEC26"", ""exchange"": ""SMART;AMEX;BATS;BOX;CBOE;CBOE2;EDGX;IBUSOPT;ISE;MEMX;MERCURY;NASDAQBX;NASDAQOM;PHLX;PSE""}, {""secType"": ""BAG""}]"
URE,FOP,37060554,URE,,,TSE,UR-ENERGY INC,"[{""secType"": ""STK""}]"
URE,FOP,9742165,URE,,,VALUE,UMWELTKONT.RENEW.ENERGY,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
URE,FUT,74262459,URE,,,ARCA,PROSHARES ULTRA REAL ESTATE,"[{""secType"": ""STK""}, {""secType"": ""OPT"", ""months"": ""MAY26;JUN26;SEP26;DEC26"", ""exchange"": ""SMART;AMEX;BATS;BOX;CBOE;CBOE2;EDGX;IBUSOPT;ISE;MEMX;MERCURY;NASDAQBX;NASDAQOM;PHLX;PSE""}, {""secType"": ""BAG""}]"
URE,FUT,37060554,URE,,,TSE,UR-ENERGY INC,"[{""secType"": ""STK""}]"
URE,FUT,9742165,URE,,,VALUE,UMWELTKONT.RENEW.ENERGY,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
URE,IND,74262459,URE,,,ARCA,PROSHARES ULTRA REAL ESTATE,"[{""secType"": ""STK""}, {""secType"": ""OPT"", ""months"": ""MAY26;JUN26;SEP26;DEC26"", ""exchange"": ""SMART;AMEX;BATS;BOX;CBOE;CBOE2;EDGX;IBUSOPT;ISE;MEMX;MERCURY;NASDAQBX;NASDAQOM;PHLX;PSE""}, {""secType"": ""BAG""}]"
URE,IND,37060554,URE,,,TSE,UR-ENERGY INC,"[{""secType"": ""STK""}]"
URE,IND,9742165,URE,,,VALUE,UMWELTKONT.RENEW.ENERGY,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
