source_symbol,sec_type_used,conid,symbol,sec_type,exchange,description,company_name,sections_json
HTV,FUT,2147483647,,,,,,"[{""secType"": ""BOND""}]"
HTV,IND,2147483647,,,,,,"[{""secType"": ""BOND""}]"
HTV,OPT,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LGC,FOP,566205785,LGC,,,VENTURE,LAVRAS GOLD CORP,"[{""secType"": ""STK""}]"
LGC,FOP,603519854,LGC,,,FWB2,HERITAGE GLOBAL INC,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
LGC,FUT,566205785,LGC,,,VENTURE,LAVRAS GOLD CORP,"[{""secType"": ""STK""}]"
LGC,FUT,603519854,LGC,,,FWB2,HERITAGE GLOBAL INC,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
LGC,IND,566205785,LGC,,,VENTURE,LAVRAS GOLD CORP,"[{""secType"": ""STK""}]"
LGC,IND,603519854,LGC,,,FWB2,HERITAGE GLOBAL INC,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
LGC,OPT,566205785,LGC,,,VENTURE,LAVRAS GOLD CORP,"[{""secType"": ""STK""}]"
LGC,OPT,603519854,LGC,,,FWB2,HERITAGE GLOBAL INC,"[{""secType"": ""STK"", ""exchange"": ""FWB2;""}]"
LGP,FOP,404491443,LGP,,,ASX,LITTLE GREEN PHARMA LTD,"[{""secType"": ""STK""}]"
LGP,FUT,404491443,LGP,,,ASX,LITTLE GREEN PHARMA LTD,"[{""secType"": ""STK""}]"
LGP,IND,404491443,LGP,,,ASX,LITTLE GREEN PHARMA LTD,"[{""secType"": ""STK""}]"
LGP,OPT,404491443,LGP,,,ASX,LITTLE GREEN PHARMA LTD,"[{""secType"": ""STK""}]"
LHC,FOP,473509892,LHC,,,VALUE,LEO HOLDINGS CORP II-CLASS A,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LHC,FOP,290088182,LHC,,,JSE,LIFE HEALTHCARE GROUP HOLDIN,"[{""secType"": ""STK"", ""exchange"": ""JSE;""}, {""secType"": ""CFD"", ""exchange"": ""SMART"", ""conid"": ""304818608""}]"
LHC,FOP,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LHC,FUT,473509892,LHC,,,VALUE,LEO HOLDINGS CORP II-CLASS A,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LHC,FUT,290088182,LHC,,,JSE,LIFE HEALTHCARE GROUP HOLDIN,"[{""secType"": ""STK"", ""exchange"": ""JSE;""}, {""secType"": ""CFD"", ""exchange"": ""SMART"", ""conid"": ""304818608""}]"
LHC,FUT,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LHC,IND,473509892,LHC,,,VALUE,LEO HOLDINGS CORP II-CLASS A,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LHC,IND,290088182,LHC,,,JSE,LIFE HEALTHCARE GROUP HOLDIN,"[{""secType"": ""STK"", ""exchange"": ""JSE;""}, {""secType"": ""CFD"", ""exchange"": ""SMART"", ""conid"": ""304818608""}]"
LHC,IND,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LHC,OPT,473509892,LHC,,,VALUE,LEO HOLDINGS CORP II-CLASS A,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LHC,OPT,290088182,LHC,,,JSE,LIFE HEALTHCARE GROUP HOLDIN,"[{""secType"": ""STK"", ""exchange"": ""JSE;""}, {""secType"": ""CFD"", ""exchange"": ""SMART"", ""conid"": ""304818608""}]"
LHC,OPT,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LHS,FOP,324529557,LHS,,,VALUE,LIBERTY HEALTH SCIENCES INC,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LHS,FOP,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LHS,FUT,324529557,LHS,,,VALUE,LIBERTY HEALTH SCIENCES INC,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LHS,FUT,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LHS,IND,324529557,LHS,,,VALUE,LIBERTY HEALTH SCIENCES INC,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LHS,IND,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LHS,OPT,324529557,LHS,,,VALUE,LIBERTY HEALTH SCIENCES INC,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LHS,OPT,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LHTB,FOP,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LHTB,FUT,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LHTB,IND,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LHTB,OPT,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LPC,FOP,137937861,LPC,,,VALUE,LORNE PARK CAPITAL PARTNERS,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LPC,FUT,137937861,LPC,,,VALUE,LORNE PARK CAPITAL PARTNERS,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LPC,IND,137937861,LPC,,,VALUE,LORNE PARK CAPITAL PARTNERS,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LPC,OPT,137937861,LPC,,,VALUE,LORNE PARK CAPITAL PARTNERS,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LPP,FOP,228789940,LPP,,,WSE,LPP SA,"[{""secType"": ""STK"", ""exchange"": ""WSE;""}, {""secType"": ""IOPT""}]"
LPP,FUT,228789940,LPP,,,WSE,LPP SA,"[{""secType"": ""STK"", ""exchange"": ""WSE;""}, {""secType"": ""IOPT""}]"
LPP,IND,228789940,LPP,,,WSE,LPP SA,"[{""secType"": ""STK"", ""exchange"": ""WSE;""}, {""secType"": ""IOPT""}]"
LPP,OPT,228789940,LPP,,,WSE,LPP SA,"[{""secType"": ""STK"", ""exchange"": ""WSE;""}, {""secType"": ""IOPT""}]"
LPSDX,FOP,141425759,LPSDX,,,,LifePath 2030 Portfolio - Class K (Blackrock Funds),"[{""secType"": ""FUND""}]"
LPSDX,FUT,141425759,LPSDX,,,,LifePath 2030 Portfolio - Class K (Blackrock Funds),"[{""secType"": ""FUND""}]"
LPSDX,IND,141425759,LPSDX,,,,LifePath 2030 Portfolio - Class K (Blackrock Funds),"[{""secType"": ""FUND""}]"
LPSDX,OPT,141425759,LPSDX,,,,LifePath 2030 Portfolio - Class K (Blackrock Funds),"[{""secType"": ""FUND""}]"
LPS,FOP,52152730,LPS,,,VALUE,LENDER PROCESSING SERVICES,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LPS,FOP,136256621,LPS,,,VENTURE,LEGEND POWER SYSTEMS INC,"[{""secType"": ""STK""}]"
LPS,FOP,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LPS,FUT,52152730,LPS,,,VALUE,LENDER PROCESSING SERVICES,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LPS,FUT,136256621,LPS,,,VENTURE,LEGEND POWER SYSTEMS INC,"[{""secType"": ""STK""}]"
LPS,FUT,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LPS,IND,52152730,LPS,,,VALUE,LENDER PROCESSING SERVICES,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LPS,IND,136256621,LPS,,,VENTURE,LEGEND POWER SYSTEMS INC,"[{""secType"": ""STK""}]"
LPS,IND,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LPS,OPT,52152730,LPS,,,VALUE,LENDER PROCESSING SERVICES,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LPS,OPT,136256621,LPS,,,VENTURE,LEGEND POWER SYSTEMS INC,"[{""secType"": ""STK""}]"
LPS,OPT,2147483647,,,,,,"[{""secType"": ""BOND""}]"
LSAT,FOP,452087669,LSAT,,,ARCA,LEADERSHARES ALPHAFACT TACT,"[{""secType"": ""STK""}]"
LSAT,FUT,452087669,LSAT,,,ARCA,LEADERSHARES ALPHAFACT TACT,"[{""secType"": ""STK""}]"
LSAT,IND,452087669,LSAT,,,ARCA,LEADERSHARES ALPHAFACT TACT,"[{""secType"": ""STK""}]"
LSAT,OPT,452087669,LSAT,,,ARCA,LEADERSHARES ALPHAFACT TACT,"[{""secType"": ""STK""}]"
LSC,FOP,268360116,LSC,,,VALUE,LSC LITHIUM CORP,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LSC,FOP,748086642,LSC,,,LSE,LONDON SECURITY PLC,"[{""secType"": ""STK""}]"
LSC,FUT,268360116,LSC,,,VALUE,LSC LITHIUM CORP,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LSC,FUT,748086642,LSC,,,LSE,LONDON SECURITY PLC,"[{""secType"": ""STK""}]"
LSC,IND,268360116,LSC,,,VALUE,LSC LITHIUM CORP,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LSC,IND,748086642,LSC,,,LSE,LONDON SECURITY PLC,"[{""secType"": ""STK""}]"
LSC,OPT,268360116,LSC,,,VALUE,LSC LITHIUM CORP,"[{""secType"": ""STK"", ""exchange"": ""VALUE;""}]"
LSC,OPT,748086642,LSC,,,LSE,LONDON SECURITY PLC,"[{""secType"": ""STK""}]"
LSS,FOP,82676344,LSS,,,SBF,LECTRA,"[{""secType"": ""STK""}, {""secType"": ""IOPT""}, {""secType"": ""CFD"", ""exchange"": ""SMART"", ""conid"": ""384918789""}]"
LSS,FOP,534278850,LSS,,,SGX,PHLP-NVA MSC SNGPR 2XLVRG-SG,"[{""secType"": ""STK"", ""exchange"": ""SGX;""}]"
LSS,FUT,82676344,LSS,,,SBF,LECTRA,"[{""secType"": ""STK""}, {""secType"": ""IOPT""}, {""secType"": ""CFD"", ""exchange"": ""SMART"", ""conid"": ""384918789""}]"
LSS,FUT,534278850,LSS,,,SGX,PHLP-NVA MSC SNGPR 2XLVRG-SG,"[{""secType"": ""STK"", ""exchange"": ""SGX;""}]"
LSS,IND,82676344,LSS,,,SBF,LECTRA,"[{""secType"": ""STK""}, {""secType"": ""IOPT""}, {""secType"": ""CFD"", ""exchange"": ""SMART"", ""conid"": ""384918789""}]"
LSS,IND,534278850,LSS,,,SGX,PHLP-NVA MSC SNGPR 2XLVRG-SG,"[{""secType"": ""STK"", ""exchange"": ""SGX;""}]"
LSS,OPT,82676344,LSS,,,SBF,LECTRA,"[{""secType"": ""STK""}, {""secType"": ""IOPT""}, {""secType"": ""CFD"", ""exchange"": ""SMART"", ""conid"": ""384918789""}]"
LSS,OPT,534278850,LSS,,,SGX,PHLP-NVA MSC SNGPR 2XLVRG-SG,"[{""secType"": ""STK"", ""exchange"": ""SGX;""}]"
LSTE,FOP,836770646,LSTE,,,BVME.ETF,WT PHYSICAL LIDO STAKED ETH,"[{""secType"": ""STK""}]"
